許可證字號,類別,中文品名,核可日期,申請商,證況,保健功效相關成分,保健功效,保健功效宣稱,警語,注意事項,網址
衛部健食規字第000082號,衛署健食規字,淨醇紅麴膠囊,2024/04/10,宏曄生物科技有限公司,核可,每份含Monacolin K 9.92~14.88 mg/g,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥（statin及fibrate類藥物）、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1549
衛部健食規字第000083號,衛署健食規字,和司特紅麴膠囊,2024/05/08,騰勢股份有限公司,核可,每份1顆含HMG-COA還原酵素抑制劑Monacolin K 9.51~14.26 毫克,"調節血脂, 紅麴（規格標準）-調節血脂",本產品可能有助於降低血中總膽固醇；其功效由學理得知，非由實驗確認。,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。2.是否適用於膽固醇之控制，應先徵詢醫師。3.懷孕及授乳期間請勿食用。4.本品與降血脂藥（statin及fibrate類藥物）、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1553
衛部健食規字第000090號,衛署健食規字,清優魚油軟膠囊,2025/09/15,和司特股份有限公司,核可,EPA22.0~30.0 g/100 gDHA13.6~20.0 g/100 g純度(EPA+DHA)35.6~50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.本產品含有魚類及其製品，不適合對其過敏體質者食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1579
衛部健食規字第000091號,衛署健食規字,尚介清魚油軟膠囊,2025/09/15,和司特股份有限公司,核可,EPA22.0 ~ 30.0 g/100 gDHA13.6 ~ 20.0 g/100 g純度(EPA+DHA)35.6 ~ 50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.本產品含有魚類及其製品，不適合對其過敏體質者食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1578
衛部健食規字第000092號,衛署健食規字,速通魚油軟膠囊,2025/09/15,和司特股份有限公司,核可,EPA22.0 ~ 30.0 g/100 gDHA13.6 ~ 20.0 g/100 g純度(EPA+DHA)35.6 ~ 50%,"調節血脂, 魚油（規格標準）-調節血脂",本產品可能有助於降低血中三酸甘油酯；其功效乃由學理得知，非由實驗確認。,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.請依建議攝取量食用，勿過量。3.本產品含有魚類及其製品，不適合對其過敏體質者食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1580
衛署健食字第A00001號,衛署健食字,威望身寶寧,1999/11/22,維達股份有限公司,核可,"EPA, DHA 蒜素 (ALLICIN)",調節血脂,經人體食用研究結果：1.有助於降低血中總膽固醇2.有助於降低血中低密度脂蛋白膽固醇3.有助於降低血中三酸甘油酯4.有助於減少發生腦心血管疾病的危險因子,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,本產品非藥品，供保健用，罹病者仍須就醫。請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1
衛署健食字第A00002號(本證失效),衛署健食字,賜多利奶粉,2000/07/01,連法國際實業股份有限公司,失效,總免疫球蛋白 G 、 特定免疫球蛋 G,調節血脂,1.有助於降低血中總膽固醇。 2.有助於降低血中低密度脂蛋白膽固醇。 3.有助於減少動脈硬化之危險因子。,警語：對牛乳過敏者不適用。乳糖不耐者請遵詢專業醫事人員建議飲用。輕微乳糖不耐者可每次減量飲用，待適應後再逐漸增量。 (逾期未辦理展延，自94年7月2日起自動失效。已另重新申請，詳見「衛署健食字第A00072號」),,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=2
衛署健食字第A00010號,衛署健食字,桂格原片原味大燕麥片,2000/11/22,佳格食品股份有限公司,核可,β-聚葡萄糖 (β-glucan),調節血脂,每天一碗燕麥片配合低飽和脂肪及低膽固醇飲食： 1.有助於降低血中總膽固醇。 2.有助於降低血中低密度脂蛋白膽固醇。3.有助於減少發生心血管疾病的危險因子。,,1.請洽詢醫師或營養師有關於食用本品之意見，均衡的飲食及適當的運動為身體健康的基礎。2.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=8
衛署健食字第A00011號,衛署健食字,桂格即沖即食大燕麥片,2000/11/26,佳格食品股份有限公司,核可,β-聚葡萄糖(β-glucan),"調節血脂, 不易形成體脂肪",(一)調節血脂功效經人體食用研究結果，每天一碗桂格燕麥片，配合低飽和脂肪及低膽固醇飲食，1. 有助於降低血中總膽固醇。2. 有助於降低血中低密度脂蛋白膽固醇。3. 有助於減少發生心血管疾病的危險因子。(二)不易形成體脂肪功效經動物實驗結果：有助於減少體脂肪之形成。,(1)攝取本產品應取代等量之日常穀類飲食。(2)多食無益。,1.請洽詢醫師或營養師有關於食用本產品之意見；均衡的飲食及適當的運動為身體健康的基礎。2.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=9
衛署健食字第A00012號,衛署健食字,奧利多碳酸飲料,2000/12/12,金車股份有限公司,核可,寡醣（含異麥芽寡醣及半乳糖寡醣）,胃腸功能改善,經動物實驗結果：有助於改善腸內細菌菌相，增加腸道Bifidus菌菌數。,本產品含阿斯巴甜，苯酮尿症患者（Phenylketonurics）不宜使用。,"1.請洽詢醫師或營養師有關食用本品之意見,均衡的飲食及適當的運動為身體健康之基礎。2.本產品供保健用，請依建議攝取量食用。",https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=10
衛署健食字第A00013號(本證失效),衛署健食字,味全優酪乳,2001/01/15,味全食品工業股份有限公司,失效,保加利亞桿菌(Lactobacillus bulgaricus)、嗜熱鏈球菌(Streptococcus thermophilus),胃腸功能改善,有助於增加腸內益生菌。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=11
衛署健食字第A00014號(本證失效),衛署健食字,豐力富高鈣低脂奶粉,2001/03/22,香港商安佳 (遠東) 有限公司台灣分公司,失效,比菲德氏菌 Bifidobacterium lactis HN019 (DR10TM),胃腸功能改善,有助於增加腸內益生菌。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=12
衛署健食字第A00015號(本證失效),衛署健食字,雙鶴極品靈芝(膠囊及粉劑),2002/04/20,勇健工業股份有限公司,併証,靈芝三帖類、 靈芝多醣體,免疫調節,(一)根據動物及體外試驗結果顯示具有下列功效： 1.有助於促進抗體生成。 2.有助於促進免疫細胞增生能力。 3.有助於調節T細胞功能。 4.有助於促進自然殺手細胞活性。 5.有助於促進吞噬細胞活性。 (二)根據動物試驗結果，對四氯化碳誘發大鼠肝臟的損傷有下列功效： 1.有助於降低血清GOT、GPT值。 2.有助於增加肝臟蛋白質含量。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=13
衛署健食字第A00016號(本證失效),衛署健食字,複合益生菌,2001/04/23,味全食品工業股份有限公司,失效,雙歧桿菌 (B.longum BB536 +B.lactis Bb12),胃腸功能改善,有助於增加腸內益生菌。,,●請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=14
衛署健食字第A00017號,衛署健食字,威望佳美鈣,2001/06/01,維達股份有限公司,核可,鈣、維生素Ｄ3、鎂、鋅,骨質保健,經人體食用研究結果：本產品提供吸收良好之鈣質，可幫助骨質保健。,規格一（1300毫克/粒）：一日請勿超過7粒。多食無益。規格二（650毫克/粒）：一日請勿超過14粒。多食無益。,本產品非藥品，供保健用，罹病者仍須就醫。請依建議攝取量食用，勿過量。請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=15
衛署健食字第A00018號,衛署健食字,人參精萃膠囊,2001/07/07,悅寶生物科技股份有限公司,核可,總人參配醣體 (total ginsenosides),"免疫調節, 抗疲勞",「(一) 免疫調節有助於增加吞噬細胞、自然殺手細胞的活性及抗體濃度。 (二) 抗疲勞有助於增加紅血球攜氧量、減少肌肉中乳酸的產生。」,●若食用後發生任何異於平常或非預期之反應，應諮詢醫師。,●對本品過敏或該配方中任一成分過敏者，請勿食用。●懷孕/哺乳：懷孕或哺乳期間，食用人生樂膠囊必須諮詢您的醫師。●請洽詢醫師或營養師食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=16
衛署健食字第A00019號(本證失效),衛署健食字,福樂一番鮮鮮奶優酪乳,2001/12/25,佳乳食品股份有限公司,失效,總乳酸菌(包含Streptococcus thermophilus、Lactobacillus delbrueckii),胃腸功能改善,有助於增加腸內益生菌。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=17
衛署健食字第A00020號(本證失效),衛署健食字,優沛蕾活菌球低脂原味活性醱酵乳,2001/12/25,佳乳食品股份有限公司,失效,總乳酸菌(包含Streptococcus thermophilus、Lactobacillus delbrueckii)、雙叉桿菌(龍根菌Bifidobacterium longum),胃腸功能改善,有助於增加腸內益生菌。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=18
衛署健食字第A00021號(本證失效),衛署健食字,福樂一番鮮草莓鮮奶優酪乳,2001/12/25,佳乳食品股份有限公司,失效,總乳酸菌(包含Streptococcus thermophilus、Lactobacillus delbrueckii)、雙叉桿菌(龍根菌Bifidobacterium longum),胃腸功能改善,有助於增加腸內益生菌。,,,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=19
衛署健食字第A00066號,衛署健食字,引藻™片(小球藻W-87),2005/07/05,國際引藻生物科技股份有限公司,核可,小球藻（以次亞麻油酸為品管指標成分）,"調節血脂, 調節血糖, 免疫調節",(一)調節血脂 經動物實驗結果： 1.有助於降低血中三酸甘油酯。 2.有助於降低血中低密度脂蛋白膽固醇。(二)調節血糖 經動物實驗結果：對禁食血糖值偏高者，有助於輔助調節作用。(三)免疫調節 經動物實驗結果： 1.有助於促進免疫細胞增生能力。 2.有助於促進吞噬細胞活性。 3.有助於促進自然殺手細胞活性。 4.有助於促進IFN-γ細胞激素分泌。,1.有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。,1.請洽詢醫師或營養師有關食用本品之意見。2.均衡的飲食及適當的運動為身體健康之基礎。3.本產品非藥品，供保健用，罹病者仍需就醫。4.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=61
衛署健食字第A00067號,衛署健食字,統一綺麗健康油,2005/07/17,統一企業股份有限公司,核可,中鏈脂肪酸11.1-15.0% (1.03~1.38公克),不易形成體脂肪,經人體食用研究結果，有助於不易囤積體脂肪。,1.三少(少鹽、少糖、少油)的飲食原則，有助身體健康。2.本品為一般食用油，係供調理使用，非為膳食補充品，不宜直接食用。3.請依使用方式及建議攝取量調理，多食無益。4.即使大量攝取也無法治療疾病恢復健康。5.在嚴謹的營養均衡與熱量控制，以及適當的運動條件下，適量攝取本產品有助於不易形成體脂肪。,1.低溫時可能導致產生白色混濁狀，此現象於常溫中便可恢復。2.勿將熱油倒入塑膠瓶中。3.請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康的基礎。4.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=62
衛署健食字第A00068號,衛署健食字,如新華茂冬蟲夏草菌絲體精沛膠囊,2005/07/18,美商如新華茂股份有限公司台灣分公司,失效,冬蟲夏草菌絲體粉末 (以腺苷Adenosine和甘露醇Mannitol為品管指標成分),抗疲勞,有助於延緩運動中疲勞之產生，並加速運動後體能之恢復。,,●請小心存放，避免兒童自行取用，若正值懷孕、服用藥物或授乳等情況，請先洽詢醫師意見。●為了要維護產品品質，如發現包裝破損或有任何品質異常，請將整瓶產品交由直銷商送回公司更換產品。●請洽詢醫師或營養師食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=63
